pl_name,hostname,sy_snum,sy_pnum,discoverymethod,disc_year,pl_orbper,pl_orbsmax,pl_rade,pl_bmasse,pl_eqt,st_spectype,st_teff,st_rad,st_mass,sy_dist,snr_value,can_separate,in_habitable_zone,suitable_radius,suitable_mass,suitable_temp,potential_magnetic_field,is_habitable,sy_gaiamag
11 Com b,11 Com,2,1,Radial Velocity,2007,323.21,1.178,12.2,4914.89849,,G8 III,4874.0,13.76,2.09,93.1846,23387.169196670297,False,True,False,False,,,,4.44038
11 UMi b,11 UMi,1,1,Radial Velocity,2009,516.21997,1.53,12.3,4684.8142,,K4 III,4213.0,29.79,2.78,125.321,36519.150314266844,False,True,False,False,,,,4.56216
14 And b,14 And,1,1,Radial Velocity,2008,186.76,0.775,13.1,1131.1513,,K0 III,4888.0,11.55,1.78,75.4392,66974.42693358091,False,False,False,False,,,,4.91781
14 Her b,14 Her,1,2,Radial Velocity,2002,1765.0389,2.774,12.6,2559.47216,,K0 V,5338.0,0.93,0.91,17.9323,554.9094006743535,False,False,False,False,,,,6.383
16 Cyg B b,16 Cyg B,3,1,Radial Velocity,1996,798.5,1.66,13.5,565.7374,,G3 V,5750.0,1.13,1.08,21.1397,1889.7772143633968,False,True,False,False,,,,6.06428
17 Sco b,17 Sco,1,1,Radial Velocity,2020,578.38,1.45,12.9,1373.01872,,K3 III,4157.0,25.92,1.22,124.953,34058.07012668329,False,True,False,False,,,,4.75429
18 Del b,18 Del,2,1,Radial Velocity,2008,982.85,2.476,12.5,2926.24614,,G6 III,4980.0,8.8,2.1,76.222,3397.217944545021,False,False,False,False,,,,5.27476
1RXS J160929.1-210524 b,1RXS J160929.1-210524,1,1,Imaging,2008,,330.0,18.647,3000.0,1700.0,K7 V,4060.0,1.31,0.85,139.135,0.0028304785528506875,False,False,False,False,False,,,12.0572
24 Boo b,24 Boo,1,1,Radial Velocity,2018,30.33,0.194,13.9,280.64248,,G3 IV,4816.0,12.19,1.05,95.9863,827970.8547512182,False,False,False,False,,,,5.3339
24 Sex b,24 Sex,1,2,Radial Velocity,2010,452.8,1.333,13.4,632.46,,K0 IV,5098.0,4.9,1.54,72.0691,4671.359172739684,False,True,False,False,,,,6.20374
24 Sex c,24 Sex,1,2,Radial Velocity,2010,883.0,2.08,13.9,273.32,,K0 IV,5098.0,4.9,1.54,72.0691,2064.4144648533197,False,False,False,False,,,,6.20374
2M0437 b,2MASS J04372171+2651014,1,1,Imaging,2021,,118.0,13.0,1271.31363,1450.0,M V,3100.0,0.84,0.17,128.484,0.005187799281605386,False,False,False,False,False,,,14.3374
2MASS J01033563-5515561 AB b,2MASS J01033563-5515561 A,2,1,Imaging,2013,,84.0,12.3,4131.79,,M5.5/M6,,,0.19,47.2,,False,False,False,False,,,,
2MASS J01225093-2439505 b,2MASS J01225093-2439505,1,1,Imaging,2013,,52.0,11.209,7786.5,1600.0,M3.5 V,3530.0,0.37,0.4,33.8281,0.055587262600501966,False,False,False,False,False,,,12.9025
2MASS J02192210-3925225 b,2MASS J02192210-3925225,1,1,Imaging,2015,,156.0,16.141,4417.837,,M6,3064.0,0.28,0.11,40.0896412,0.005222319066822827,False,False,False,False,,,,15.0123
2MASS J0249-0557 c,2MASS J0249-0557 A,2,1,Imaging,2018,,1950.0,12.4,3686.80952,,M6 V,2859.0,0.32,0.05,66.0613,9.488113531406688e-06,False,False,False,False,,,,15.6894
2MASS J03590986+2009361 b,2MASS J03590986+2009361,1,1,Imaging,2024,,572.0,12.2,5720.91133,2369.0,,2943.0,0.29,0.26,117.435,2.774140772180699e-05,False,False,False,False,False,,,16.9967
2MASS J04414489+2301513 b,2MASS J04414489+2301513,1,1,Imaging,2010,,15.0,12.6,2383.6,,M8.5,2936.0,0.23,0.02,120.423987,0.025738796764727793,False,False,False,False,,,,18.9668
2MASS J11011926-7732383 b,2MASS J11011926-7732383,1,1,Imaging,2024,,266.0,11.9,8899.1954,2677.0,,,,,,,,False,False,False,False,,,18.3299
2MASS J11550485-7919108 b,2MASS J11550485-7919108,1,1,Imaging,2024,,587.0,12.1,6356.56814,2506.0,,3021.0,0.6,0.59,100.862,0.00015036331358366894,False,False,False,False,False,,,14.818
2MASS J12073346-3932539 b,2MASS J12073346-3932539,1,1,Imaging,2004,,55.0,12.9,1589.15,1250.0,M8,2825.0,0.22,0.02,64.308,0.006438273134667049,False,False,False,False,False,,,17.4076
2MASS J19383260+4603591 b,2MASS J19383260+4603591,2,3,Eclipse Timing Variations,2015,406.0,0.92,13.4,603.877,,,29564.0,0.2,0.48,396.332,0.5402262159114555,False,False,False,False,,,,12.1376
2MASS J21252752-8138278 b,2MASS J21252752-8138278,1,1,Imaging,2024,,7493.0,12.4,3813.94088,1616.0,,3592.0,0.67,0.64,34.1154,1.0562836928671606e-05,False,False,False,False,False,,,10.8133
2MASS J22362452+4751425 b,2MASS J22362452+4751425,1,1,Imaging,2016,,230.0,12.3,3972.875,,K7 V,4045.0,0.64,0.6,69.5737,0.0024200497743781493,False,False,False,False,,,,11.9484
30 Ari B b,30 Ari B,4,1,Radial Velocity,2009,335.10001,0.99,12.3,4392.4106,,F6 V,6331.0,1.41,1.93,44.657,1538.8595010692977,False,True,False,False,,,,6.96085
4 UMa b,4 UMa,1,1,Radial Velocity,2006,270.27,0.877,12.6,2511.48007,,K1 III,4415.0,18.11,1.23,73.4603,125450.79242377981,False,False,False,False,,,,4.23773
42 Dra b,42 Dra,2,1,Radial Velocity,2008,479.1,1.19,13.0,1233.13,,K1.5 III,4200.0,22.03,0.98,90.6545,70476.2913537715,False,True,False,False,,,,4.43216
47 UMa b,47 UMa,1,3,Radial Velocity,1996,1078.0,2.1,13.2,804.08,,G0 V,5872.0,1.21,1.06,13.7967,3038.992103892996,False,False,False,False,,,,4.87837
47 UMa c,47 UMa,1,3,Radial Velocity,2001,2391.0,3.6,14.2,171.621,,G1 V,5872.0,1.21,1.06,13.7967,1196.718448038633,False,False,False,False,,,,4.87837
47 UMa d,47 UMa,1,3,Radial Velocity,2009,14002.0,11.6,13.5,521.22,,G0V,5872.0,1.21,1.06,13.7967,104.17700250076787,False,False,False,False,,,,4.87837
51 Eri b,51 Eri,3,1,Imaging,2015,11688.0,13.2,13.4,635.66,700.0,F0 IV,7295.0,1.49,1.75,29.7575,25.836958438558472,False,False,False,False,False,,,5.15806
51 Peg b,51 Peg,1,1,Radial Velocity,1995,4.230785,0.0527,14.3,146.2018,,G5V,5758.0,1.18,1.03,15.4614,4288616.649871266,True,False,False,False,,,,5.28647
55 Cnc b,55 Cnc,2,5,Radial Velocity,1996,14.6516,0.1134,13.9,263.9785,700.0,K0 IV-V,5172.0,0.94,0.91,12.5855,838143.2477738688,True,False,False,False,False,,,5.72973
55 Cnc c,55 Cnc,2,5,Radial Velocity,2004,44.3989,0.2373,8.51,54.4738,,G8V,5172.0,0.94,0.91,12.5855,71742.81329871186,True,False,False,False,,,,5.72973
55 Cnc d,55 Cnc,2,5,Radial Velocity,2002,5574.2,5.957,13.0,1232.493,,G8 V,5172.0,0.94,0.91,12.5855,265.67229269013126,False,False,False,False,,,,5.72973
55 Cnc e,55 Cnc,2,5,Radial Velocity,2004,0.7365474,0.01544,1.875,7.99,1958.0,G8 V,5172.0,0.94,0.91,12.5855,822664.4138350162,True,False,False,False,False,,,5.72973
55 Cnc f,55 Cnc,2,5,Radial Velocity,2007,259.88,0.7708,7.59,44.812,,G8V,5172.0,0.94,0.91,12.5855,5408.974064432684,True,False,False,False,,,,5.72973
6 Lyn b,6 Lyn,1,1,Radial Velocity,2008,919.86,2.028,13.4,597.83523,,K0 IV,4941.0,4.94,1.32,54.6599,3566.070523321644,False,False,False,False,,,,5.60686
61 Vir b,61 Vir,1,3,Radial Velocity,2009,4.215,0.050201,2.11,5.1,,G5 V,5577.0,0.96,0.94,8.50332,225167.44204786816,True,False,False,False,,,,4.54052
61 Vir c,61 Vir,1,3,Radial Velocity,2009,38.021,0.2175,4.46,18.2,,G5 V,5577.0,0.96,0.94,8.50332,53594.054690997255,True,False,False,False,,,,4.54052
61 Vir d,61 Vir,1,3,Radial Velocity,2009,123.01,0.476,5.11,22.9,,G5 V,5577.0,0.96,0.94,8.50332,14689.036672503935,True,False,False,False,,,,4.54052
7 CMa b,7 CMa,1,2,Radial Velocity,2011,735.1,1.758,13.4,587.9855,,K1 III,4826.0,4.87,1.34,19.8101,35112.07067625321,False,False,False,False,,,,3.67853
7 CMa c,7 CMa,1,2,Radial Velocity,2019,996.0,2.153,13.9,276.5121,,K1III(+M),4826.0,4.87,1.34,19.8101,25189.881683371077,False,False,False,False,,,,3.67853
70 Vir b,70 Vir,1,1,Radial Velocity,1996,116.688,0.481,12.6,2380.45,,G5V,5495.0,1.89,1.09,17.9011,76491.84010579887,True,False,False,False,,,,4.76178
75 Cet b,75 Cet,2,2,Radial Velocity,2012,696.62,1.912,13.3,787.89662,,G3 III,4809.0,10.38,1.92,82.9613,7574.799039954076,False,False,False,False,,,,5.09343
75 Cet c,75 Cet,2,2,Radial Velocity,2023,2051.62,3.929,13.9,289.85951,,G3 III,4809.0,10.38,1.92,82.9613,1959.337056578762,False,False,False,False,,,,5.09343
8 UMi b,8 UMi,1,1,Radial Velocity,2015,93.4,0.49,13.6,416.3573,,K0,4847.0,10.3,1.44,162.552,30929.68318086215,False,False,False,False,,,,6.55896
81 Cet b,81 Cet,1,1,Radial Velocity,2008,1005.57,2.104,13.1,1051.05854,,G5 III,4734.0,11.21,1.23,101.26,4751.016070461211,False,False,False,False,,,,5.37588
91 Aqr b,91 Aqr,3,1,Radial Velocity,2013,181.4,0.7,13.1,1017.0,,K0 III,4665.0,11.0,1.4,44.0304,218588.15269449682,False,False,False,False,,,,3.95311
AB Aur b,AB Aur,1,1,Imaging,2022,,93.9,12.5,2860.45566,,,9770.0,2.96,2.4,162.127,0.059069265472508334,False,False,False,False,,,,7.07854
AB Pic b,AB Pic,1,1,Imaging,2005,,260.0,12.3,4290.5,,K2 V,5285.0,1.0,0.9,50.0475,0.008935086278073458,False,False,False,False,,,,8.8378
AF Lep b,AF Lep,1,1,Imaging,2023,8030.0,8.4,13.1,1017.0509,1400.0,F8 V,6130.0,1.25,1.2,26.8564,52.687604317292866,False,False,False,False,False,,,6.18644
AU Mic b,AU Mic,1,3,Transit,2020,8.4629991,0.0645,3.957,20.12,600.0,M1,3665.0,0.82,0.5,9.7221,267744.28422675596,True,False,False,False,False,,,7.84038
AU Mic c,AU Mic,1,3,Transit,2021,18.858991,0.1101,3.24,9.6,459.0,M1,3665.0,0.82,0.5,9.7221,61605.986953623935,True,False,False,False,False,,,7.84038
AU Mic d,AU Mic,1,3,Transit Timing Variations,2023,12.73596,,1.02,1.053,,M1,3678.0,0.74,0.51,9.7221,,,,True,True,,True,,7.84038
BD+03 2562 b,BD+03 2562,1,1,Radial Velocity,2017,481.9,1.3,12.7,2034.112,,,4095.0,32.35,1.14,1070.63,871.3456957890191,False,True,False,False,,,,8.9977
BD+14 4559 b,BD+14 4559,1,1,Radial Velocity,2009,268.94,0.78,13.8,330.5432,,K2 V,4864.0,0.86,0.49,49.352,950.5092671228346,False,False,False,False,,,,9.35108
BD+15 2375 b,BD+15 2375,1,1,Radial Velocity,2016,153.22,0.576,13.8,337.21763,,G5,4649.0,8.95,1.08,768.045,779.4458411212273,False,False,False,False,,,,9.9918
BD+15 2940 b,BD+15 2940,1,1,Radial Velocity,2013,137.48,0.539,13.7,352.78,,K0,4796.0,14.7,1.1,426.42,7677.558632610443,False,False,False,False,,,,8.7178
BD+20 2457 b,BD+20 2457,1,2,Radial Velocity,2009,379.63,1.45,12.1,6807.63,,K2 II,4137.0,49.0,2.8,1539.71,705.2596469570044,False,True,False,False,,,,9.22684
BD+20 2457 c,BD+20 2457,1,2,Radial Velocity,2009,621.99,2.01,12.4,3963.17,,K2 II,4137.0,49.0,2.8,1539.71,385.4477853645326,False,False,False,False,,,,9.22684
BD+20 274 b,BD+20 274,1,1,Radial Velocity,2012,578.2,1.3,13.0,1334.886,,K5 III,4296.0,17.3,0.8,1322.51,171.11744107636648,False,True,False,False,,,,8.91613
BD+20 594 b,BD+20 594,1,1,Transit,2016,41.6855,0.241,2.578,22.2481,546.0,G,5766.0,1.08,1.67,179.461,41.441845283916436,False,False,False,False,False,,,10.8644
BD+45 564 b,BD+45 564,1,1,Radial Velocity,2021,307.88,0.83,13.6,432.24663,,K1,5004.0,0.81,0.81,53.622,612.6404289879994,False,False,False,False,,,,9.41266
BD+48 738 b,BD+48 738,1,1,Radial Velocity,2011,392.6,1.0,13.9,289.2253,,K0 III,4414.0,11.0,0.74,871.493,307.8131466781737,False,True,False,False,,,,8.65569
BD+48 740 b,BD+48 740,1,1,Radial Velocity,2018,733.0,1.7,13.5,540.311,,K3 III,4534.0,10.33,1.09,666.589,151.44469046141157,False,False,False,False,,,,8.26449
BD+49 828 b,BD+49 828,1,1,Radial Velocity,2015,2590.0,4.2,13.5,508.5,,K0,4943.0,7.6,1.52,442.042,30.54000264796628,False,False,False,False,,,,9.02851
BD+55 362 b,BD+55 362,1,1,Radial Velocity,2021,265.59,0.78,14.0,228.83645,,K3,5012.0,0.9,0.91,52.5697,944.2367245227729,False,False,False,False,,,,9.15305
BD+60 1417 b,BD+60 1417,1,1,Imaging,2021,,1662.0,14.684,4767.4261,1303.0,K0,4993.0,0.8,1.0,44.9543,0.0002472089601214836,False,False,False,False,False,,,9.17439
BD+63 1405 b,BD+63 1405,1,1,Radial Velocity,2021,1198.48,2.06,12.4,3305.41543,,K0,5000.0,0.8,0.82,38.0473,160.19214547134644,False,False,False,False,,,,8.705
BD-06 1339 b,BD-06 1339,1,2,Radial Velocity,2013,3.8728,0.0428,2.85,8.5,,K7/M0 V,4324.0,0.69,0.7,20.2695,51382.38889425122,True,False,False,False,,,,9.10677
BD-06 1339 c,BD-06 1339,1,2,Radial Velocity,2013,125.94,0.435,8.38,53.0,,K7/M0 V,4324.0,0.69,0.7,20.2695,4300.526549862262,True,False,False,False,,,,9.10677
BD-08 2823 b,BD-08 2823,1,2,Radial Velocity,2009,5.6,0.06,3.61,12.7132,,K3 V,4816.0,0.71,0.5,41.3342,10680.94127906218,True,False,False,False,,,,9.50331
BD-08 2823 c,BD-08 2823,1,2,Radial Velocity,2009,237.6,0.68,12.5,104.0,,K3 V,4746.0,0.72,0.74,41.3342,1025.2933024326005,False,False,False,False,,,,9.50331
BD-10 3166 b,BD-10 3166,1,1,Radial Velocity,2000,3.48777,0.04,14.1,187.5197,,K0 V,5393.0,0.91,1.47,84.4069,144425.9146838755,True,False,False,False,,,,9.83981
BD-11 4672 b,BD-11 4672,1,2,Radial Velocity,2014,1634.0,2.36,14.1,206.5895,,K7 V,4550.0,0.64,0.65,27.1665,198.11017795143445,False,False,False,False,,,,9.48511
BD-11 4672 c,BD-11 4672,1,2,Radial Velocity,2020,74.2,0.3,4.04,15.37,,K7V,4550.0,0.64,0.65,27.1665,1006.4977062458404,True,False,False,False,,,,9.48511
BD-13 2130 b,BD-13 2130,1,1,Radial Velocity,2007,714.29999,1.66,12.5,3108.3774,,G5 IV/V,4545.0,19.17,2.12,925.214,243.4241623501444,False,True,False,False,,,,9.69971
BD-14 3065 b,BD-14 3065 A,3,1,Transit,2024,4.2889731,0.0656,21.59,3932.0,2001.0,,6935.0,2.35,1.41,589.423,17217.86004635635,False,False,False,False,False,,,10.91
BD-17 63 b,BD-17 63,1,1,Radial Velocity,2008,655.57,1.34,12.8,1639.99458,,K5 V,4714.0,0.74,0.74,34.4603,420.7611894259961,False,True,False,False,,,,9.20112
BD-210397 b,BD-210397,1,2,Radial Velocity,2023,1891.0,2.63,14.0,214.0,,K7 V,4051.0,0.75,0.68,23.7324,282.9982708789244,False,False,False,False,,,,9.25962
BD-210397 c,BD-210397,1,2,Radial Velocity,2023,6240.0,5.9,12.9,1525.57635,,K7 V,4051.0,0.75,0.69,23.7324,47.74353865842843,False,False,False,False,,,,9.25962
CD Cet b,CD Cet,1,1,Radial Velocity,2020,2.2907,0.0185,1.82,3.95,464.0,M5.0 V,3130.0,0.17,0.16,8.60715,37755.34287233513,True,False,False,True,False,True,,12.1232
CFBDSIR J145829+101343 b,CFBDSIR J145829+101343,1,1,Imaging,2011,10037.5,2.6,12.4,3337.1,370.0,,580.5,,0.02,23.1,,False,False,False,False,False,,,
CFHTWIR-Oph 98 b,CFHTWIR-Oph 98 A,1,1,Imaging,2021,8040000.0,200.0,20.849,2479.06157,1800.0,M9-L1,2320.0,0.24,0.01,,,,False,False,False,False,,,
CHXR 73 b,CHXR 73,1,1,Imaging,2006,,210.0,12.3,3994.486,,M3.5,3099.0,,0.35,190.374,,False,False,False,False,,,,17.2934
CI Tau c,CI Tau,1,1,Radial Velocity,2024,25.2,0.17,13.0,1144.18227,,K7,3807.0,1.88,0.9,157.998,8279.447971174266,False,False,False,False,,,,12.1454
COCONUTS-2 b,COCONUTS-2 A,1,1,Imaging,2021,402000000.0,7506.0,12.442,2002.31896,434.0,M3 V,3406.0,0.39,0.37,10.8864,3.526337801658975e-05,False,False,False,False,False,,,10.146
CT Cha b,CT Cha,1,1,Imaging,2007,,440.0,24.66,5403.0,2600.0,K5e,4403.0,1.68,,190.72,0.002437288160700312,False,False,False,False,False,,,11.7733
CoRoT-1 b,CoRoT-1,1,1,Transit,2008,1.5089557,0.02752,16.7,327.35,1898.0,G0 V,5950.0,1.11,0.95,787.909,7308.52805053835,False,False,False,False,False,,,13.457
CoRoT-10 b,CoRoT-10,1,1,Transit,2010,13.2406,0.1055,10.87,874.0,600.0,K1 V,5075.0,0.79,0.89,338.386,578.6068595488005,False,False,False,False,False,,,14.6645
CoRoT-11 b,CoRoT-11,1,1,Transit,2010,2.99433,0.0436,16.03,740.51,1657.0,F6 V,6440.0,1.37,1.27,655.037,5912.940877117618,False,False,False,False,False,,,12.841
CoRoT-12 b,CoRoT-12,1,1,Transit,2010,2.828042,0.04016,16.14,291.438,1442.0,,5675.0,1.12,1.08,1126.37,1596.9581977998791,False,False,False,False,False,,,15.3453
CoRoT-13 b,CoRoT-13,1,1,Transit,2010,4.03519,0.051,9.92,415.704,1700.0,G0 V,5945.0,1.01,1.09,1148.93,292.3738997903364,False,False,False,False,False,,,14.9147
CoRoT-14 b,CoRoT-14,1,1,Transit,2010,1.51214,0.027,12.22,2415.4,1952.0,F9 V,6035.0,1.21,1.13,1744.6,985.3576390847339,False,False,False,False,False,,,15.8116
CoRoT-16 b,CoRoT-16,1,1,Transit,2011,5.35227,0.0618,13.11,170.032,,G5 V,5650.0,1.19,1.1,732.409,1187.9960899478983,False,False,False,False,,,,15.6507
CoRoT-17 b,CoRoT-17,1,1,Transit,2011,3.7681,0.0461,11.43,772.29,1626.0,G2 V,5740.0,1.59,1.04,1176.12,1123.5220188489754,False,False,False,False,False,,,15.4368
CoRoT-18 b,CoRoT-18,1,1,Transit,2011,1.9000693,0.0295,14.68,1102.82,1550.0,G9 V,5440.0,1.0,0.95,764.889,4232.639188454013,False,False,False,False,False,,,14.8009
CoRoT-19 b,CoRoT-19,1,1,Transit,2011,3.89713,0.0518,14.46,352.78,2000.0,F9 V,6090.0,1.65,1.21,790.663,3393.6115005273978,False,False,False,False,False,,,13.7831
CoRoT-2 b,CoRoT-2,2,1,Transit,2008,1.7429935,0.02798,16.432,1102.82,1521.0,,5625.0,0.91,0.96,213.283,62784.976378823936,True,False,False,False,False,,,12.2489
CoRoT-20 b,CoRoT-20,1,2,Transit,2011,9.24285,0.09,9.416,1366.669,1024.0,G2 V,5880.0,1.02,1.14,844.061,159.8455521638346,False,False,False,False,False,,,14.4686
CoRoT-20 c,CoRoT-20,1,2,Radial Velocity,2018,1675.0,2.9,12.2,5403.11,,G2 V,4947.5,1.37,1.14,844.061,0.4662481608536397,False,False,False,False,,,,14.4686
CoRoT-21 b,CoRoT-21,1,1,Transit,2012,2.72474,0.0417,14.572,718.2958,,F8 IV,6200.0,1.95,1.29,1398.8341969,2373.0285116105747,False,False,False,False,,,,15.8558
CoRoT-22 b,CoRoT-22,1,1,Transit,2014,9.75598,0.092,4.88,12.2,885.0,G3 V,5939.0,1.14,1.1,627.158,92.96506109073505,False,False,False,False,False,,,13.7305
CoRoT-23 b,CoRoT-23,1,1,Transit,2011,3.6313,0.048,11.77,889.9,1660.0,G0 V,5900.0,1.61,1.14,1060.97,1384.573435891796,False,False,False,False,False,,,15.0681
CoRoT-24 b,CoRoT-24,1,2,Transit,2014,5.1134,0.056,3.7,5.7,1070.0,K1 V,4950.0,0.86,0.91,591.555,92.26437360611247,False,False,False,False,False,,,15.1801
CoRoT-24 c,CoRoT-24,1,2,Transit,2014,11.759,0.098,5.0,28.0,850.0,K1 V,4950.0,0.86,0.91,591.555,55.01669540174561,False,False,False,False,False,,,15.1801
CoRoT-25 b,CoRoT-25,1,1,Transit,2013,4.86069,0.0578,12.11,85.81,1330.0,F9,6040.0,1.19,1.09,1103.48,510.5021786102209,False,False,False,False,False,,,14.711
CoRoT-26 b,CoRoT-26,1,1,Transit,2013,4.20474,0.0526,14.12,165.26,1600.0,G5,5590.0,1.79,1.09,1045.18,2113.5950621740344,False,False,False,False,False,,,15.4682
CoRoT-27 b,CoRoT-27,1,1,Transit,2014,3.57532,0.0476,11.287,3302.11,1500.0,G2,5900.0,1.08,1.05,1010.28,642.5503204119087,False,False,False,False,False,,,15.3902
CoRoT-28 b,CoRoT-28,1,1,Transit,2015,5.20851,0.0603,10.705,153.82972,,G8/9 IV,5150.0,1.78,1.01,766.183,1701.0367650724713,False,False,False,False,,,,13.4119
CoRoT-29 b,CoRoT-29,1,1,Transit,2015,2.85057,0.0386,10.088,270.1555,,K0 V,5260.0,0.9,0.97,806.507,850.558667096964,False,False,False,False,,,,15.2394
CoRoT-3 b,CoRoT-3,1,1,Transit,2008,4.2568,0.05783,11.32,6883.91,1695.0,F3 V,6740.0,1.56,1.37,768.771,1577.762687633714,False,False,False,False,False,,,13.2188
CoRoT-30 b,CoRoT-30,1,1,Transit,2020,9.06005,0.0844,11.31,921.707,,G3 V,5650.0,0.91,0.98,1032.23,139.56295212678933,False,False,False,False,,,,15.413
CoRoT-31 b,CoRoT-31,1,1,Transit,2020,4.62941,0.0586,16.365,266.9772,,G2 IV,5700.0,2.15,1.25,2005.76,896.0985505546606,False,False,False,False,,,,15.4655
CoRoT-35 b,CoRoT-35,1,1,Transit,2022,3.22748,0.0429,18.831,349.61125,1747.0,F6 V,6390.0,1.65,1.01,1123.21,4157.939330045537,False,False,False,False,False,,,15.2625
CoRoT-36 b,CoRoT-36,1,1,Transit,2022,5.616531,0.066,15.805,216.12332,1567.0,F3 V,6730.0,1.52,1.32,925.958,1545.2748229526562,False,False,False,False,False,,,12.9515
CoRoT-4 b,CoRoT-4,1,1,Transit,2008,9.20205,0.09,13.34,228.83,1074.0,,6190.0,1.17,1.16,726.412,569.9442071958975,False,False,False,False,False,,,13.5613
CoRoT-5 b,CoRoT-5,1,1,Transit,2009,4.0378962,0.04947,15.558,148.42,1438.0,F9 V,6100.0,1.19,1.0,882.472,1798.5220526660055,False,False,False,False,False,,,13.9021
CoRoT-6 b,CoRoT-6,1,1,Transit,2009,8.886593,0.0855,13.068,940.74,1017.0,F9 V,6090.0,1.03,1.05,645.294,595.1757357985925,False,False,False,False,False,,,13.7459
CoRoT-7 b,CoRoT-7,1,3,Transit,2009,0.85359163,0.017016,1.681,4.07661,1756.0,G9 V,5275.0,0.83,0.82,159.906,2629.3423620168314,True,False,False,True,False,True,,11.5239
CoRoT-7 c,CoRoT-7,1,3,Radial Velocity,2009,3.698,0.046,2.83,8.4,,G9 V,5256.0,0.86,0.9,159.906,1094.7742927126098,True,False,False,False,,,,11.5239
CoRoT-7 d,CoRoT-7,1,3,Radial Velocity,2022,8.966,,4.31,17.142,,G9 V,5250.0,0.84,0.92,159.906,,,,False,False,,,,11.5239
CoRoT-8 b,CoRoT-8,1,1,Transit,2010,6.21229,0.063,6.39,69.92,870.0,K1 V,5080.0,0.77,0.88,322.037,588.1532799512316,False,False,False,False,False,,,14.2195
CoRoT-9 b,CoRoT-9,2,1,Transit,2009,95.272656,0.4021,11.949,266.9772,420.0,G3 V,5625.0,0.96,0.96,412.98,47.71768899174379,False,False,False,False,False,,,13.5008
CoRoTID 223977153 b,CoRoTID 223977153,1,1,Transit,2017,6.71837,0.071,6.389,47.6745,938.0,G0 VI,5970.0,0.79,1.08,576.683,151.95988747253972,False,False,False,False,False,,,13.5867
DE CVn b,DE CVn,2,1,Eclipse Timing Variations,2018,4098.1,5.75,12.4,3823.2733,,,3579.0,0.42,0.51,30.5225,8.805744028401683,False,False,False,False,,,,11.9752
DENIS-P J082303.1-491201 b,DENIS-P J082303.1-491201,1,1,Astrometry,2013,246.36,0.36,11.9,9057.77,,L1.5,,,0.07,20.77,,True,False,False,False,,,,18.5577
DH Tau b,DH Tau,1,1,Imaging,2004,,330.0,30.264,3496.0,2200.0,M0.5,4371.0,0.27,0.33,134.846,0.00033719115079785796,False,False,False,False,False,,,12.4961
DMPP-1 b,DMPP-1,1,4,Radial Velocity,2019,18.57,0.1462,5.29,24.27,877.0,F8 V,6196.0,1.26,1.21,62.5388,5314.4533800879935,True,False,False,False,False,,,7.85032
DMPP-1 c,DMPP-1,1,4,Radial Velocity,2019,6.584,0.0733,3.06,9.6,1239.0,F8 V,6196.0,1.26,1.21,62.5388,7074.1930379010355,True,False,False,False,False,,,7.85032
DMPP-1 d,DMPP-1,1,4,Radial Velocity,2019,2.882,0.0422,1.65,3.35,1632.0,F8 V,6196.0,1.26,1.21,62.5388,6205.617302354646,True,False,False,True,False,True,,7.85032
DMPP-1 e,DMPP-1,1,4,Radial Velocity,2019,5.516,0.0651,1.86,4.13,1314.0,F8 V,6196.0,1.26,1.21,62.5388,3313.644501932198,True,False,False,True,False,True,,7.85032
DMPP-2 b,DMPP-2,1,1,Radial Velocity,2019,5.2072,0.0664,14.3,138.89171,1000.0,F5 V,6500.0,1.78,1.44,137.94,77231.67919506639,True,False,False,False,False,,,8.45824
DMPP-3 A b,DMPP-3 A,2,1,Radial Velocity,2019,6.6732,0.0662,1.41,2.58,854.0,K0 V,5138.0,0.91,0.87,45.23,1836.3347621997168,True,False,True,True,False,True,,8.854298
DMPP-4 b,DMPP-4,1,1,Radial Velocity,2023,3.4982,0.04853,3.53,12.2,,F5-F8 V,6400.0,1.38,1.25,25.3284,157062.13206959204,True,False,False,False,,,,5.60037
DP Leo b,DP Leo,2,1,Eclipse Timing Variations,2009,10220.0,8.19,12.7,1995.88832,,,13500.0,0.01,0.69,305.684,2.57332253445362e-05,False,False,False,False,,,,18.6333
DS Tuc A b,DS Tuc A,2,1,Transit,2019,8.138268,,5.7,413.179,850.0,G6 V,5428.0,0.96,1.01,44.0622,,,,False,False,False,,,8.31926
EPIC 201170410.02,EPIC 201170410,1,1,Transit,2020,6.7987,0.0349,1.047,1.15,,,3648.0,0.28,0.29,134.0,39.29605702829138,True,False,True,True,,True,,16.4386
EPIC 201238110 b,EPIC 201238110,1,1,Transit,2019,28.1656,,1.87,4.16,,,3587.0,0.37,0.41,159.259,,,,False,True,,True,,15.2612
EPIC 201427007 b,EPIC 201427007,1,1,Transit,2021,0.72091,,1.5,2.86,,,5633.0,0.94,0.93,706.391,,,,True,True,,True,,14.147
EPIC 201497682 b,EPIC 201497682,1,1,Transit,2019,2.13174,,0.692,0.26,,,4991.0,0.55,0.78,253.026,,,,True,False,,,,13.7368
EPIC 201595106 b,EPIC 201595106,1,1,Transit,2021,0.877214,,1.3,2.24,1874.0,,5820.0,0.93,1.02,232.1,,,,True,True,False,True,,11.6477
